Center 1/nm  # refs Possible  Compl       Meas   Red   SNR     Mean I     d(A)    Min 1/nm   Max 1/nm
     0.837     2477     2477 100.00    1843113 744.1  7.18   14928.40    11.94       0.200      1.475
     1.666     2363     2363 100.00    1198215 507.1  5.63    4836.14     6.00       1.475      1.857
     1.992     2296     2296 100.00    1001355 436.1  6.38    6447.12     5.02       1.857      2.126
     2.233     2309     2309 100.00     843606 365.4  6.23    6228.77     4.48       2.126      2.340
     2.430     2289     2289 100.00     757320 330.9  4.88    3986.91     4.12       2.340      2.520
     2.599     2265     2265 100.00     720082 317.9  4.12    3043.61     3.85       2.520      2.678
     2.749     2275     2275 100.00     635071 279.2  3.07    2159.23     3.64       2.678      2.819
     2.883     2255     2255 100.00     612184 271.5  2.41    1568.41     3.47       2.819      2.947
     3.006     2259     2259 100.00     615502 272.5  1.68     967.82     3.33       2.947      3.065
     3.120     2262     2262 100.00     605531 267.7  1.19     645.57     3.20       3.065      3.175
     3.226     2237     2237 100.00     583104 260.7  0.89     460.48     3.10       3.175      3.277
     3.326     2258     2258 100.00     580205 257.0  0.61     297.55     3.01       3.277      3.374
     3.419     2235     2235 100.00     558951 250.1  0.46     209.40     2.92       3.374      3.465
     3.508     2252     2252 100.00     555022 246.5  0.41     181.44     2.85       3.465      3.552
     3.593     2230     2230 100.00     536321 240.5  0.32     136.12     2.78       3.552      3.634
     3.674     2262     2262 100.00     537545 237.6  0.36     151.86     2.72       3.634      3.713
     3.751     2242     2242 100.00     520646 232.2  0.24      99.86     2.67       3.713      3.789
     3.826     2226     2226 100.00     510060 229.1  0.00    -707.34     2.61       3.789      3.862
     3.897     2199     2199 100.00     494797 225.0  0.11    -742.36     2.57       3.862      3.932
     3.966     2264     2264 100.00     504035 222.6  0.15      57.99     2.52       3.932      4.000
