Center 1/nm  # refs Possible  Compl       Meas   Red   SNR     Mean I     d(A)    Min 1/nm   Max 1/nm
     0.837     2477     2477 100.00    2096233 846.3  7.63   14417.77    11.94       0.200      1.475
     1.666     2363     2363 100.00    1364107 577.3  6.03    5158.71     6.00       1.475      1.857
     1.992     2296     2296 100.00    1139307 496.2  7.14    6968.21     5.02       1.857      2.126
     2.233     2309     2309 100.00     960474 416.0  6.85    6770.47     4.48       2.126      2.340
     2.430     2289     2289 100.00     861971 376.6  5.44    4597.62     4.12       2.340      2.520
     2.599     2265     2265 100.00     819901 362.0  4.73    3651.12     3.85       2.520      2.678
     2.749     2275     2275 100.00     723105 317.8  3.61    2709.82     3.64       2.678      2.819
     2.883     2255     2255 100.00     696259 308.8  3.01    2070.50     3.47       2.819      2.947
     3.006     2259     2259 100.00     700706 310.2  2.28    1382.55     3.33       2.947      3.065
     3.120     2262     2262 100.00     689716 304.9  1.70     979.85     3.20       3.065      3.175
     3.226     2237     2237 100.00     663817 296.7  1.36     735.25     3.10       3.175      3.277
     3.326     2258     2258 100.00     660513 292.5  0.97     511.72     3.01       3.277      3.374
     3.419     2235     2235 100.00     635548 284.4  0.75     399.77     2.92       3.374      3.465
     3.508     2252     2252 100.00     632234 280.7  0.68     352.03     2.85       3.465      3.552
     3.593     2230     2230 100.00     611627 274.3  0.50     251.41     2.78       3.552      3.634
     3.674     2262     2262 100.00     613148 271.1  0.58     280.09     2.72       3.634      3.713
     3.751     2242     2242 100.00     593360 264.7  0.44     206.21     2.67       3.713      3.789
     3.826     2226     2226 100.00     581786 261.4  0.18      76.85     2.61       3.789      3.862
     3.897     2199     2199 100.00     563202 256.1  0.28     126.63     2.57       3.862      3.932
     3.966     2264     2264 100.00     574306 253.7  0.28     120.39     2.52       3.932      4.000
